what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331741651914
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331741657285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331741662484
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741671367
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741679283
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741687298
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741690543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331741696259
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331741704912
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1331741710723
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1331741711919
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331741713389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331741716791
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331741748656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331741755540
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331741766509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741796970
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741806772
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741810121
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741819241
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741827145
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741830273
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741840935
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331741845239
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331741845683
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741848756
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741851196
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331741859087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331741860344
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741872437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741875881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741886166
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741890270
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741894237
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741961118
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331741962289
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331741964870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331741968551
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1331741973275
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1331741978323
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1331741978816
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1331741979058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331741980008
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331741981051
