what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743263506
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743320051
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331743321829
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743324539
started,bundle,org.eclipse.pde,3.6.100.v201109091335,"org.eclipse.pde",1331743338146
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1331743338268
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1331743338268
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743338285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743340420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743351371
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1331743363177
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1331743375095
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1331743376792
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1331743403399
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1331743427966
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743436926
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743505956
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331743508013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743512162
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743513746
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743513936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1331743519252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743519263
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1331743521785
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1331743522854
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743527261
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1331743534343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743534354
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743536733
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1331743543385
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743543401
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743544820
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1331743558778
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743558791
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743560513
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743562888
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743565072
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743567472
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1331743571431
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1331743572461
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743574095
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1331743580067
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1331743580089
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1331743580175
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743580189
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743585906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743588076
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743609030
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743658642
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743670021
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743674655
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743686659
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743700481
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743703533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743707974
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743708754
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743710592
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1331743732420
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1331743732489
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331743733792
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331743736910
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743740560
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743798881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331743802886
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743803383
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743852353
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743854532
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743856360
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743861256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743870685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743871179
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743979849
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743982611
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743987896
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743988801
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331744031471
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331744033336
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331744036097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331744036819
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331744041624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331744042727
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331748100562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331748101176
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331748103141
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1331748103731
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1331748103813
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1331748103829
